Continent,Country,Year,Category,Expenditure,Visitors
Oceania,New Zealand,2006,Holiday,909227000,423390
Oceania,New Zealand,2006,Visiting friends and relatives,404132000,257158
Oceania,New Zealand,2006,Business,312595000,200699
Oceania,New Zealand,2006,Education,73279000,12711
Oceania,New Zealand,2006,Employment,195837000,34208
Oceania,New Zealand,2006,Otherreason,72567000,32013
Oceania,New Zealand,2006,Backpackers,120491000,35822
Oceania,New Zealand,2006,Nonbackpackers,1847146000,924357
Asia,Japan,2006,Holiday,1579029000,476057
Asia,Japan,2006,Visiting friends and relatives,90859000,35599
Asia,Japan,2006,Business,171813000,40826
Asia,Japan,2006,Education,244598000,22703
Asia,Japan,2006,Employment,0,0
Asia,Japan,2006,Otherreason,72879000,17224
Asia,Japan,2006,Backpackers,221509000,33998
Asia,Japan,2006,Nonbackpackers,1992606000,564764
Asia,Singapore,2006,Holiday,238129000,92072
Asia,Singapore,2006,Visiting friends and relatives,94228000,30922
Asia,Singapore,2006,Business,118547000,47397
Asia,Singapore,2006,Education,178334000,13024
Asia,Singapore,2006,Employment,0,0
Asia,Singapore,2006,Otherreason,0,0
Asia,Singapore,2006,Backpackers,42838000,8188
Asia,Singapore,2006,Nonbackpackers,641367000,191006
Asia,China,2006,Holiday,533254000,132351
Asia,China,2006,Visiting friends and relatives,91182000,37695
Asia,China,2006,Business,234293000,63433
Asia,China,2006,Education,666536000,38686
Asia,China,2006,Employment,0,0
Asia,China,2006,Otherreason,66438000,15401
Asia,China,2006,Backpackers,32583000,5826
Asia,China,2006,Nonbackpackers,1584327000,286827
Americas,United States,2006,Holiday,1023231000,184833
Americas,United States,2006,Visiting friends and relatives,326890000,86730
Americas,United States,2006,Business,527251000,95928
Americas,United States,2006,Education,287785000,24725
Americas,United States,2006,Employment,200091000,16796
Americas,United States,2006,Otherreason,40373000,15444
Americas,United States,2006,Backpackers,309209000,41089
Americas,United States,2006,Nonbackpackers,2096413000,383367
Europe,United Kingdom,2006,Holiday,2366817000,361090
Europe,United Kingdom,2006,Visiting friends and relatives,985048000,239646
Europe,United Kingdom,2006,Business,319069000,53936
Europe,United Kingdom,2006,Education,0,0
Europe,United Kingdom,2006,Employment,196037000,18009
Europe,United Kingdom,2006,Otherreason,88935000,18307
Europe,United Kingdom,2006,Backpackers,1006091000,134872
Europe,United Kingdom,2006,Nonbackpackers,2983063000,559821
Asia,Korea,2006,Holiday,651741000,154989
Asia,Korea,2006,Visiting friends and relatives,135621000,25157
Asia,Korea,2006,Business,119318000,29428
Asia,Korea,2006,Education,362351000,23941
Asia,Korea,2006,Employment,0,0
Asia,Korea,2006,Otherreason,0,0
Asia,Korea,2006,Backpackers,267686000,33927
Asia,Korea,2006,Nonbackpackers,1149150000,209092
Oceania,New Zealand,2007,Holiday,1017778000,441643
Oceania,New Zealand,2007,Visiting friends and relatives,458360000,277436
Oceania,New Zealand,2007,Business,391090000,209108
Oceania,New Zealand,2007,Education,74838000,12965
Oceania,New Zealand,2007,Employment,164773000,38664
Oceania,New Zealand,2007,Otherreason,62884000,34515
Oceania,New Zealand,2007,Backpackers,119444000,41890
Oceania,New Zealand,2007,Nonbackpackers,2050279000,972441
Asia,Japan,2007,Holiday,1375265000,405631
Asia,Japan,2007,Visiting friends and relatives,89784000,33091
Asia,Japan,2007,Business,112206000,41224
Asia,Japan,2007,Education,227400000,22354
Asia,Japan,2007,Employment,0,0
Asia,Japan,2007,Otherreason,83899000,16952
Asia,Japan,2007,Backpackers,252142000,36664
Asia,Japan,2007,Nonbackpackers,1687155000,489019
Asia,Singapore,2007,Holiday,285660000,97969
Asia,Singapore,2007,Visiting friends and relatives,89778000,31336
Asia,Singapore,2007,Business,137778000,48752
Asia,Singapore,2007,Education,195157000,12301
Asia,Singapore,2007,Employment,0,0
Asia,Singapore,2007,Otherreason,0,0
Asia,Singapore,2007,Backpackers,52894000,8223
Asia,Singapore,2007,Nonbackpackers,826511000,196112
Asia,China,2007,Holiday,574102000,157037
Asia,China,2007,Visiting friends and relatives,184915000,43294
Asia,China,2007,Business,252157000,69559
Asia,China,2007,Education,772876000,43985
Asia,China,2007,Employment,0,0
Asia,China,2007,Otherreason,0,0
Asia,China,2007,Backpackers,32916000,6581
Asia,China,2007,Nonbackpackers,1882160000,329216
Americas,United States,2007,Holiday,997803000,171868
Americas,United States,2007,Visiting friends and relatives,328123000,85239
Americas,United States,2007,Business,556846000,105039
Americas,United States,2007,Education,310004000,24974
Americas,United States,2007,Employment,103565000,19417
Americas,United States,2007,Otherreason,55345000,17497
Americas,United States,2007,Backpackers,329921000,46316
Americas,United States,2007,Nonbackpackers,2021766000,377718
Europe,United Kingdom,2007,Holiday,2192860000,318256
Europe,United Kingdom,2007,Visiting friends and relatives,1065015000,241823
Europe,United Kingdom,2007,Business,218144000,53735
Europe,United Kingdom,2007,Education,108665000,8260
Europe,United Kingdom,2007,Employment,222467000,18502
Europe,United Kingdom,2007,Otherreason,61961000,13903
Europe,United Kingdom,2007,Backpackers,931292000,120930
Europe,United Kingdom,2007,Nonbackpackers,2937821000,533549
Asia,Korea,2007,Holiday,683810000,148277
Asia,Korea,2007,Visiting friends and relatives,207950000,26646
Asia,Korea,2007,Business,69403000,19102
Asia,Korea,2007,Education,442992000,27266
Asia,Korea,2007,Employment,0,0
Asia,Korea,2007,Otherreason,0,0
Asia,Korea,2007,Backpackers,310573000,37119
Asia,Korea,2007,Nonbackpackers,1183792000,201343
Oceania,New Zealand,2008,Holiday,969166000,405103
Oceania,New Zealand,2008,Visiting friends and relatives,471021000,287153
Oceania,New Zealand,2008,Business,400395000,212522
Oceania,New Zealand,2008,Education,63424000,14744
Oceania,New Zealand,2008,Employment,227708000,38336
Oceania,New Zealand,2008,Otherreason,90327000,36672
Oceania,New Zealand,2008,Backpackers,111829000,37397
Oceania,New Zealand,2008,Nonbackpackers,2110213000,957134
Asia,Japan,2008,Holiday,1226053000,315705
Asia,Japan,2008,Visiting friends and relatives,86667000,28978
Asia,Japan,2008,Business,154333000,36905
Asia,Japan,2008,Education,197270000,17605
Asia,Japan,2008,Employment,0,0
Asia,Japan,2008,Otherreason,57682000,13610
Asia,Japan,2008,Backpackers,194216000,26899
Asia,Japan,2008,Nonbackpackers,1571149000,391019
Asia,Singapore,2008,Holiday,286984000,94931
Asia,Singapore,2008,Visiting friends and relatives,97931000,31265
Asia,Singapore,2008,Business,141824000,47107
Asia,Singapore,2008,Education,213603000,13334
Asia,Singapore,2008,Employment,0,0
Asia,Singapore,2008,Otherreason,0,0
Asia,Singapore,2008,Backpackers,41894000,6210
Asia,Singapore,2008,Nonbackpackers,795023000,196429
Asia,China,2008,Holiday,625094000,154025
Asia,China,2008,Visiting friends and relatives,185650000,47025
Asia,China,2008,Business,224714000,57007
Asia,China,2008,Education,970327000,50042
Asia,China,2008,Employment,0,0
Asia,China,2008,Otherreason,0,0
Asia,China,2008,Backpackers,54128000,6343
Asia,China,2008,Nonbackpackers,2151036000,325991
Americas,United States,2008,Holiday,966381000,167662
Americas,United States,2008,Visiting friends and relatives,334537000,86782
Americas,United States,2008,Business,666817000,103716
Americas,United States,2008,Education,279650000,23331
Americas,United States,2008,Employment,151039000,19571
Americas,United States,2008,Otherreason,95536000,22362
Americas,United States,2008,Backpackers,326309000,45434
Americas,United States,2008,Nonbackpackers,2167651000,377991
Europe,United Kingdom,2008,Holiday,2041514000,306002
Europe,United Kingdom,2008,Visiting friends and relatives,1090818000,242321
Europe,United Kingdom,2008,Business,297887000,52685
Europe,United Kingdom,2008,Education,0,0
Europe,United Kingdom,2008,Employment,269753000,20770
Europe,United Kingdom,2008,Otherreason,89428000,14820
Europe,United Kingdom,2008,Backpackers,886505000,115906
Europe,United Kingdom,2008,Nonbackpackers,2978068000,528101
Asia,Korea,2008,Holiday,571187000,121643
Asia,Korea,2008,Visiting friends and relatives,130921000,26014
Asia,Korea,2008,Business,93512000,17183
Asia,Korea,2008,Education,437362000,23831
Asia,Korea,2008,Employment,0,0
Asia,Korea,2008,Otherreason,0,0
Asia,Korea,2008,Backpackers,292608000,32691
Asia,Korea,2008,Nonbackpackers,1069952000,174592
Oceania,New Zealand,2009,Holiday,827676000,403898
Oceania,New Zealand,2009,Visiting friends and relatives,462832000,316140
Oceania,New Zealand,2009,Business,315079000,182967
Oceania,New Zealand,2009,Education,74245000,13908
Oceania,New Zealand,2009,Employment,172210000,34743
Oceania,New Zealand,2009,Otherreason,57154000,39097
Oceania,New Zealand,2009,Backpackers,72307000,28091
Oceania,New Zealand,2009,Nonbackpackers,1836889000,962663
Asia,Japan,2009,Holiday,969332000,232637
Asia,Japan,2009,Visiting friends and relatives,90650000,32609
Asia,Japan,2009,Business,130325000,29575
Asia,Japan,2009,Education,202541000,15817
Asia,Japan,2009,Employment,0,0
Asia,Japan,2009,Otherreason,46089000,11914
Asia,Japan,2009,Backpackers,177967000,21628
Asia,Japan,2009,Nonbackpackers,1285498000,304384
Asia,Singapore,2009,Holiday,297688000,107767
Asia,Singapore,2009,Visiting friends and relatives,93670000,39896
Asia,Singapore,2009,Business,135640000,42245
Asia,Singapore,2009,Education,244869000,14345
Asia,Singapore,2009,Employment,0,0
Asia,Singapore,2009,Otherreason,0,0
Asia,Singapore,2009,Backpackers,35731000,6932
Asia,Singapore,2009,Nonbackpackers,805544000,212044
Asia,China,2009,Holiday,733362000,148067
Asia,China,2009,Visiting friends and relatives,216928000,58479
Asia,China,2009,Business,236540000,46532
Asia,China,2009,Education,1278391000,66018
Asia,China,2009,Employment,74302000,6968
Asia,China,2009,Otherreason,0,0
Asia,China,2009,Backpackers,46076000,3820
Asia,China,2009,Nonbackpackers,2561303000,337198
Americas,United States,2009,Holiday,930385000,188159
Americas,United States,2009,Visiting friends and relatives,324290000,105456
Americas,United States,2009,Business,474484000,88520
Americas,United States,2009,Education,320435000,23850
Americas,United States,2009,Employment,138588000,19202
Americas,United States,2009,Otherreason,81667000,18668
Americas,United States,2009,Backpackers,330517000,46816
Americas,United States,2009,Nonbackpackers,1939332000,397039
Europe,United Kingdom,2009,Holiday,1926813000,294624
Europe,United Kingdom,2009,Visiting friends and relatives,934195000,252650
Europe,United Kingdom,2009,Business,245918000,46156
Europe,United Kingdom,2009,Education,0,0
Europe,United Kingdom,2009,Employment,209065000,19360
Europe,United Kingdom,2009,Otherreason,63327000,15168
Europe,United Kingdom,2009,Backpackers,1015989000,130934
Europe,United Kingdom,2009,Nonbackpackers,2468056000,505033
Asia,Korea,2009,Holiday,503293000,92672
Asia,Korea,2009,Visiting friends and relatives,104326000,25672
Asia,Korea,2009,Business,62621000,12964
Asia,Korea,2009,Education,474383000,24979
Asia,Korea,2009,Employment,0,0
Asia,Korea,2009,Otherreason,0,0
Asia,Korea,2009,Backpackers,317881000,30104
Asia,Korea,2009,Nonbackpackers,1035997000,143326
Oceania,New Zealand,2010,Holiday,926574000,422850
Oceania,New Zealand,2010,Visiting friends and relatives,452280000,320156
Oceania,New Zealand,2010,Business,420817000,201771
Oceania,New Zealand,2010,Education,73311000,14706
Oceania,New Zealand,2010,Employment,205177000,38742
Oceania,New Zealand,2010,Otherreason,69270000,41656
Oceania,New Zealand,2010,Backpackers,77090000,32525
Oceania,New Zealand,2010,Nonbackpackers,2070340000,1007357
Asia,Japan,2010,Holiday,981959000,262535
Asia,Japan,2010,Visiting friends and relatives,74103000,30739
Asia,Japan,2010,Business,158959000,33507
Asia,Japan,2010,Education,204554000,18675
Asia,Japan,2010,Employment,0,0
Asia,Japan,2010,Otherreason,38139000,11350
Asia,Japan,2010,Backpackers,177930000,26780
Asia,Japan,2010,Nonbackpackers,1311911000,334456
Asia,Singapore,2010,Holiday,301617000,112563
Asia,Singapore,2010,Visiting friends and relatives,123190000,40207
Asia,Singapore,2010,Business,163306000,50818
Asia,Singapore,2010,Education,286904000,15525
Asia,Singapore,2010,Employment,0,0
Asia,Singapore,2010,Otherreason,0,0
Asia,Singapore,2010,Backpackers,62211000,11186
Asia,Singapore,2010,Nonbackpackers,883131000,225957
Asia,China,2010,Holiday,740770000,185478
