Continent,Country,Year,Category,Expenditure,Visitors,AverageStayNights
Oceania,New Zealand,2006,Holiday,909227000,423390,13.1
Oceania,New Zealand,2006,Visiting friends and relatives,404132000,257158,12.9
Oceania,New Zealand,2006,Business,312595000,200699,6.4
Oceania,New Zealand,2006,Education,73279000,12711,37.2
Oceania,New Zealand,2006,Employment,195837000,34208,87.2
Oceania,New Zealand,2006,Otherreason,72567000,32013,10.3
Oceania,New Zealand,2006,Backpackers,120491000,35822,46.5
Oceania,New Zealand,2006,Nonbackpackers,1847146000,924357,13.3
Asia,Japan,2006,Holiday,1579029000,476057,11.3
Asia,Japan,2006,Visiting friends and relatives,90859000,35599,13.7
Asia,Japan,2006,Business,171813000,40826,21.9
Asia,Japan,2006,Education,244598000,22703,126.7
Asia,Japan,2006,Employment,0,0,0
Asia,Japan,2006,Otherreason,72879000,17224,23.1
Asia,Japan,2006,Backpackers,221509000,33998,94.9
Asia,Japan,2006,Nonbackpackers,1992606000,564764,13.9
Asia,Singapore,2006,Holiday,238129000,92072,8.9
Asia,Singapore,2006,Visiting friends and relatives,94228000,30922,20.8
Asia,Singapore,2006,Business,118547000,47397,8.6
Asia,Singapore,2006,Education,178334000,13024,99.8
Asia,Singapore,2006,Employment,0,0,0
Asia,Singapore,2006,Otherreason,0,0,0
Asia,Singapore,2006,Backpackers,42838000,8188,35.4
Asia,Singapore,2006,Nonbackpackers,641367000,191006,19.1
Asia,China,2006,Holiday,533254000,132351,11.7
Asia,China,2006,Visiting friends and relatives,91182000,37695,62.8
Asia,China,2006,Business,234293000,63433,18.4
Asia,China,2006,Education,666536000,38686,179.8
Asia,China,2006,Employment,0,0,0
Asia,China,2006,Otherreason,66438000,15401,31.1
Asia,China,2006,Backpackers,32583000,5826,62.1
Asia,China,2006,Nonbackpackers,1584327000,286827,44.2
Americas,United States,2006,Holiday,1023231000,184833,16.1
Americas,United States,2006,Visiting friends and relatives,326890000,86730,21.6
Americas,United States,2006,Business,527251000,95928,13.4
Americas,United States,2006,Education,287785000,24725,77
Americas,United States,2006,Employment,200091000,16796,89.1
Americas,United States,2006,Otherreason,40373000,15444,8
Americas,United States,2006,Backpackers,309209000,41089,49.3
Americas,United States,2006,Nonbackpackers,2096413000,383367,19.9
Europe,United Kingdom,2006,Holiday,2366817000,361090,35.8
Europe,United Kingdom,2006,Visiting friends and relatives,985048000,239646,27.2
Europe,United Kingdom,2006,Business,319069000,53936,23.5
Europe,United Kingdom,2006,Education,0,0,0
Europe,United Kingdom,2006,Employment,196037000,18009,141.3
Europe,United Kingdom,2006,Otherreason,88935000,18307,16.7
Europe,United Kingdom,2006,Backpackers,1006091000,134872,67.7
Europe,United Kingdom,2006,Nonbackpackers,2983063000,559821,26.2
Asia,Korea,2006,Holiday,651741000,154989,26.9
Asia,Korea,2006,Visiting friends and relatives,135621000,25157,28.1
Asia,Korea,2006,Business,119318000,29428,15.2
Asia,Korea,2006,Education,362351000,23941,168.8
